Cat,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D1_C_S,APC2D1_C_F,APC2D1_C_X,APC2D1_O_S,APC2D2_C_C,APC2D2_C_N,APC2D2_C_O,APC2D2_C_S,APC2D2_C_F,APC2D2_C_Cl,APC2D2_C_Br,APC2D2_C_X,APC2D2_N_O,APC2D2_F_F,APC2D2_F_X,APC2D2_X_X,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D3_C_F,APC2D3_C_Cl,APC2D3_C_Br,APC2D3_C_X,APC2D3_N_O,APC2D3_O_S,APC2D4_C_C,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D4_C_F,APC2D4_C_Cl,APC2D4_C_Br,APC2D4_C_X,APC2D4_N_O,APC2D4_O_O,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_C_F,APC2D5_C_Cl,APC2D5_C_X,APC2D5_N_O,APC2D5_N_X,APC2D5_O_X,APC2D6_C_C,APC2D6_C_N,APC2D6_C_O,APC2D6_C_S,APC2D6_C_F,APC2D6_C_Cl,APC2D6_C_Br,APC2D6_C_X,APC2D6_N_O,APC2D6_O_F,APC2D6_O_X,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_S,APC2D7_C_F,APC2D7_C_Cl,APC2D7_C_Br,APC2D7_C_X,APC2D8_C_C,APC2D8_C_N,APC2D8_C_O,APC2D8_C_S,APC2D8_C_F,APC2D8_C_Cl,APC2D8_C_Br,APC2D8_C_X,APC2D8_O_F,APC2D8_O_X,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_C_S,APC2D9_C_F,APC2D9_C_Cl,APC2D9_C_Br,APC2D9_C_X,APC2D9_O_O,APC2D9_O_X,APC2D10_C_C,APC2D10_C_N,APC2D10_C_O,APC2D10_C_S,APC2D10_C_F,APC2D10_C_Cl,APC2D10_C_X,APC2D10_O_O,APC2D10_O_Cl,APC2D10_O_X,KRFPC1,KRFPC297,KRFPC298,KRFPC341,KRFPC344,KRFPC669,KRFPC1148,KRFPC1566,KRFPC1645,KRFPC2260,KRFPC2949,KRFPC2975,KRFPC3058,KRFPC3224,KRFPC3369,KRFPC3440,KRFPC3640,KRFPC3659,KRFPC3660,KRFPC3682,KRFPC3692,KRFPC3706,KRFPC3712,KRFPC3719,KRFPC3722,KRFPC3727,KRFPC3730,KRFPC3733,KRFPC3737,KRFPC3740,KRFPC3744,KRFPC3750,KRFPC3773,KRFPC3788,KRFPC3882,KRFPC3926,KRFPC3956,KRFPC4032,KRFPC4067,KRFPC4080,KRFPC4329,KRFPC4331,KRFPC4813,SubFPC1,SubFPC2,SubFPC9,SubFPC137,SubFPC172,SubFPC181,SubFPC184,SubFPC274,SubFPC275,SubFPC287,SubFPC295,SubFPC300,SubFPC301,SubFPC302,SubFPC307
S1005,21.0,6.0,1.0,2.0,0.0,0.0,0.0,26.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,21.0,3.0,6.0,9.0,6.0,6.0,6.0,23.0
S1007,18.0,4.0,6.0,0.0,0.0,0.0,0.0,22.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,16.0,1.0,2.0,10.0,6.0,6.0,6.0,18.0
S1008,14.0,8.0,3.0,0.0,1.0,3.0,0.0,19.0,10.0,4.0,0.0,2.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,17.0,13.0,3.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,16.0,7.0,5.0,0.0,4.0,2.0,1.0,7.0,2.0,0.0,18.0,5.0,6.0,0.0,3.0,2.0,5.0,2.0,2.0,1.0,15.0,9.0,7.0,0.0,2.0,3.0,1.0,6.0,2.0,1.0,1.0,12.0,8.0,8.0,0.0,2.0,1.0,2.0,5.0,11.0,6.0,5.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,9.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,15.0,2.0,2.0,11.0,8.0,8.0,7.0,17.0
S1010,26.0,13.0,5.0,0.0,0.0,0.0,0.0,40.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,11.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,10.0,7.0,2.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,3.0,7.0,18.0,15.0,15.0,9.0,28.0
S1011,19.0,11.0,5.0,0.0,1.0,2.0,0.0,27.0,10.0,7.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,23.0,15.0,5.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,24.0,13.0,6.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,29.0,8.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,27.0,14.0,8.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,26.0,12.0,6.0,0.0,1.0,3.0,0.0,4.0,21.0,12.0,8.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,18.0,9.0,7.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,21.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,16.0,3.0,1.0,16.0,15.0,15.0,9.0,21.0
S1013,16.0,8.0,2.0,0.0,0.0,0.0,0.0,19.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,10.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,6.0,1.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,12.0,2.0,2.0,10.0,14.0,14.0,11.0,18.0
S1014,20.0,11.0,6.0,0.0,0.0,2.0,0.0,30.0,13.0,7.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0,13.0,7.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,30.0,7.0,6.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,31.0,9.0,7.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,27.0,12.0,9.0,0.0,0.0,6.0,0.0,6.0,1.0,0.0,0.0,27.0,9.0,8.0,0.0,0.0,4.0,0.0,4.0,23.0,7.0,9.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,19.0,10.0,6.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,18.0,6.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,7.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,10.0,1.0,6.0,6.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0,3.0,0.0,17.0,15.0,15.0,9.0,18.0
S1021,15.0,16.0,2.0,2.0,0.0,1.0,0.0,22.0,15.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,23.0,17.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,20.0,10.0,5.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,18.0,13.0,5.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,17.0,13.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,2.0,3.0,0.0,1.0,0.0,1.0,12.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,10.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,6.0,4.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,17.0,6.0,2.0,20.0,15.0,15.0,8.0,18.0
S1022,47.0,3.0,18.0,0.0,0.0,0.0,0.0,63.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,74.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,73.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,89.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6.0,46.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,92.0,4.0,46.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,13.0,14.0,5.0,2.0,12.0,2.0,0.0,0.0,0.0,2.0,53.0,7.0,43.0,6.0,10.0,44.0,11.0,6.0,0.0,40.0,40.0,30.0,27.0,21.0,17.0,20.0,3.0,17.0,3.0,22.0,4.0,8.0,19.0,3.0,3.0,13.0,0.0,0.0,1.0,0.0,14.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,21.0,56.0,56.0,8.0,30.0
S1025,17.0,9.0,6.0,0.0,1.0,2.0,0.0,24.0,9.0,7.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,12.0,5.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,21.0,8.0,6.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,22.0,7.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,21.0,8.0,6.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,20.0,9.0,3.0,0.0,1.0,3.0,0.0,4.0,17.0,7.0,7.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,19.0,0.0,7.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,13.0,8.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,7.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,16.0,4.0,0.0,15.0,13.0,13.0,8.0,16.0
